name,sku,barcode,category,sales_price,product_cost,stock,warning_limit,unit,featured,unlimited,image
Bebeto 1 ds,ID397,,,"51,000",0,0,0,,no,yes,
Bebeto Ciki,ID398,,,850,0,0,0,,no,yes,
Bedak Bayi Maks,ID399,,,"16,500",0,0,0,,no,yes,
Bedak bayi My baby 50 gr,ID400,,,"3,000",0,0,0,,no,yes,
Bedak Citra Super,ID401,,,"8,500",0,0,0,,no,yes,
Bedak Cussion 100 Gr,ID402,,,"5,750",0,0,0,,no,yes,
Bedak Cussion 150 gr,ID403,,,"8,500",0,0,0,,no,yes,
Bedak Cussion 35 gr,ID404,,,"3,000",0,0,0,,no,yes,
Bedak Cussion 200 +100,ID405,,,"12,500",0,0,0,,no,yes,
Bedak Cussion 75g,ID406,,,"3,500",0,0,0,,no,yes,
Bedak Happy Talkum 150 g,ID407,,,"7,000",0,0,0,,no,yes,
Bedak Jonsen,ID408,,,"5,000",0,0,0,,no,yes,
Bedak Kelly 15g,ID409,,,"9,100",0,0,0,,no,yes,
bedak kelly 5g,ID410,,,"5,250",0,0,0,,no,yes,
bedak Kodomo 50 g,ID411,,,"2,250",0,0,0,,no,yes,
Bedak Marsk,ID412,,,"11,500",0,0,0,,no,yes,
Bedak My Baby T,ID413,,,"6,500",0,0,0,,no,yes,
Bedak Nasional,ID414,,,"2,000",0,0,0,,no,yes,
Bedak Palang Merah,ID415,,,"2,000",0,0,0,,no,yes,
Bedak Piva Bubuk,ID416,,,"2,000",0,0,0,,no,yes,
Bedak Pixi,ID417,,,"19,000",0,0,0,,no,yes,
Bedak Pixy Refil,ID418,,,"19,500",0,0,0,,no,yes,
